"","Date.Of.Stop","Time.Of.Stop","Agency","SubAgency","Description","Location","Latitude","Longitude","Accident","Belts","Personal.Injury","Property.Damage","Fatal","Commercial.License","HAZMAT","Commercial.Vehicle","Alcohol","Work.Zone","State","VehicleType","Year","Make","Model","Color","Violation.Type","Charge","Article","Contributed.To.Accident","Race","Gender","Driver.City","Driver.State","DL.State","Arrest.Type","Geolocation","State2"
"26490","07/19/2012","18:49:00","MCP","6th district, Gaithersburg / Montgomery Village","FAILURE YIELD RIGHT OF WAY ON U TURN","N. FREDERICK AVE @ WATKINS MILL ROAD",39.1571155333333,-77.2597632666667,"No","No","Yes","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"JAGUAR","XJ SPORT","RED","Citation","21-402(b)","Transportation Article","No","BLACK","M","GERMANTOWN","MD","MD","A - Marked Patrol","(39.1571155333333, -77.2597632666667)","Alabama"
"29362","10/04/2012","22:01:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE","N/B GEORGIA AVE @ EMORY LANE",39.1301992833333,-77.0708438666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"NISSAN","ALTIMA","SILVER","Citation","16-303(c)","Transportation Article","No","BLACK","M","SEVERN","MD","AL","A - Marked Patrol","(39.1301992833333, -77.0708438666667)","Alabama"
"29424","05/04/2012","05:07:00","MCP","3rd district, Silver Spring","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILE MOTOR VEHICLE IS IN MOTION.","S/B GEORGIA AVE @ EAST WEST HWY",38.9866060333333,-77.02659025,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1994,"TOTOTA","CAMRY 4D","GREEN, DK","Citation","21-1124.2(d2)","Transportation Article","No","BLACK","M","KENNESAW","GA","GA","A - Marked Patrol","(38.9866060333333, -77.02659025)","Alabama"
"29962","10/04/2012","22:01:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE","N/B GEORGIA AVE @ EMORY LANE",39.1301992833333,-77.0708438666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"NISSAN","ALTIMA","SILVER","Citation","16-303(f)","Transportation Article","No","BLACK","M","SEVERN","MD","AL","A - Marked Patrol","(39.1301992833333, -77.0708438666667)","Alabama"
"30025","05/04/2012","05:07:00","MCP","3rd district, Silver Spring","OPER. M/V WITH OPERATOR NOT RESTRAINED BY SEAT BELT.","S/B GEORGIA AVE @ EAST WEST HWY",38.9866060333333,-77.02659025,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1994,"TOTOTA","CAMRY 4D","GREEN, DK","Citation","22-412.3(b)","Transportation Article","No","BLACK","M","KENNESAW","GA","GA","A - Marked Patrol","(38.9866060333333, -77.02659025)","Alabama"
"30564","10/04/2012","22:01:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUT-OF-STATE LICENSE","N/B GEORGIA AVE @ EMORY LANE",39.1301992833333,-77.0708438666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"NISSAN","ALTIMA","SILVER","Citation","16-303(g)","Transportation Article","No","BLACK","M","SEVERN","MD","AL","A - Marked Patrol","(39.1301992833333, -77.0708438666667)","Alabama"
"31161","10/04/2012","22:01:00","MCP","4th district, Wheaton","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL","N/B GEORGIA AVE @ EMORY LANE",39.1301992833333,-77.0708438666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"NISSAN","ALTIMA","SILVER","Citation","21-202(h1)","Transportation Article","No","BLACK","M","SEVERN","MD","AL","A - Marked Patrol","(39.1301992833333, -77.0708438666667)","Alabama"
"31758","10/04/2012","22:01:00","MCP","4th district, Wheaton","DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103","N/B GEORGIA AVE @ EMORY LANE",39.1301992833333,-77.0708438666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"NISSAN","ALTIMA","SILVER","Citation","16-303(h)","Transportation Article","No","BLACK","M","SEVERN","MD","AL","A - Marked Patrol","(39.1301992833333, -77.0708438666667)","Alabama"
"32355","10/04/2012","22:01:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE","N/B GEORGIA AVE @ EMORY LANE",39.1301992833333,-77.0708438666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"NISSAN","ALTIMA","SILVER","Citation","16-303(d)","Transportation Article","No","BLACK","M","SEVERN","MD","AL","A - Marked Patrol","(39.1301992833333, -77.0708438666667)","Alabama"
"40436","12/04/2014","22:02:00","MCP","3rd district, Silver Spring","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","W/B UNIBERSITY BLVD/495",39.0126183333333,-77.00283,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"HYUNDAI","ELANTRA","WHITE","Citation","16-101(a)","Transportation Article","No","WHITE","M","LANHAM","MD","MD","A - Marked Patrol","(39.0126183333333, -77.00283)","Alabama"
"47010","05/12/2012","21:09:00","MCP","2nd district, Bethesda","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","EAST WEST HWY/GLENDALE RD",38.9886013666667,-77.0735120833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2009,"FORD","FUSION","SILVER","Citation","13-411(f)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","AL","A - Marked Patrol","(38.9886013666667, -77.0735120833333)","Alabama"
"47582","05/12/2012","21:09:00","MCP","2nd district, Bethesda","DRIVING, MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","EAST WEST HWY/GLENDALE RD",38.9886013666667,-77.0735120833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2009,"FORD","FUSION","SILVER","Citation","16-101(a)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","AL","A - Marked Patrol","(38.9886013666667, -77.0735120833333)","Alabama"
"50742","02/01/2016","20:26:00","MCP","2nd district, Bethesda","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","EDGEMOOR / BEVERLY",38.9846916666667,-77.0995833333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"HONDA","4D","SILVER","Citation","13-411(f)","Transportation Article","No","WHITE","F","BIRMINGHAM","AL","AL","A - Marked Patrol","(38.9846916666667, -77.0995833333333)","Alabama"
"51077","04/17/2015","15:08:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE","GEORGIA AVE / ARCOLA AVE",39.0465866666667,-77.0519816666667,"No","No","No","No","No","No","No","No","No","No","AB","02 - Automobile",2013,"CHEV","IMPALA","WHITE","Citation","16-303(c)","Transportation Article","No","OTHER","M","WOODBRIDGE","VA","VA","A - Marked Patrol","(39.0465866666667, -77.0519816666667)","Alabama"
"51634","04/17/2015","15:08:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE","GEORGIA AVE / ARCOLA AVE",39.0465866666667,-77.0519816666667,"No","No","No","No","No","No","No","No","No","No","AB","02 - Automobile",2013,"CHEV","IMPALA","WHITE","Citation","16-303(f)","Transportation Article","No","OTHER","M","WOODBRIDGE","VA","VA","A - Marked Patrol","(39.0465866666667, -77.0519816666667)","Alabama"
"52186","04/17/2015","15:08:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103","GEORGIA AVE / ARCOLA AVE",39.0465866666667,-77.0519816666667,"No","No","No","No","No","No","No","No","No","No","AB","02 - Automobile",2013,"CHEV","IMPALA","WHITE","Citation","16-303(h)","Transportation Article","No","OTHER","M","WOODBRIDGE","VA","VA","A - Marked Patrol","(39.0465866666667, -77.0519816666667)","Alabama"
"52740","04/17/2015","15:08:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE","GEORGIA AVE / ARCOLA AVE",39.0465866666667,-77.0519816666667,"No","No","No","No","No","No","No","No","No","No","AB","02 - Automobile",2013,"CHEV","IMPALA","WHITE","Citation","16-303(d)","Transportation Article","No","OTHER","M","WOODBRIDGE","VA","VA","A - Marked Patrol","(39.0465866666667, -77.0519816666667)","Alabama"
"61963","03/29/2012","20:11:00","MCP","4th district, Wheaton","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL","NEW HAMPSHIRE AVE ON GOOD HOPE RD",39.0959717666667,-76.9998377833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"TOYOTA","CAMRY","WHITE","Citation","21-202(h1)","Transportation Article","No","BLACK","F","BIRMINGHAM","AL","AL","A - Marked Patrol","(39.0959717666667, -76.9998377833333)","Alabama"
"65781","01/29/2012","20:17:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE","GEORGIA AVE AT SHORFIELD DR",39.0540741666667,-77.05121395,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1998,"SATURN","4DR","GREEN, DK","Citation","16-303(c)","Transportation Article","No","BLACK","M","FORT WASHINGTON","MD","MD","A - Marked Patrol","(39.0540741666667, -77.05121395)","Alabama"
"65912","05/22/2012","09:02:00","MCP","2nd district, Bethesda","OPERATOR NOT RESTRAINED BY SEATBELT","ROCKVILLE PIKE  AT MARINELLI RD",39.04702925,-77.1134391,"No","No","No","No","No","No","No","No","No","No","AL","05 - Light Duty Truck",2009,"CHEV","COLORADO","","Citation","22-412.3(b)","Transportation Article","No","WHITE","M","HUNTSVILLE","AL","AL","A - Marked Patrol","(39.04702925, -77.1134391)","Alabama"
"66261","01/29/2012","20:17:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106","GEORGIA AVE AT SHORFIELD DR",39.0540741666667,-77.05121395,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1998,"SATURN","4DR","GREEN, DK","Citation","16-303(h)","Transportation Article","No","BLACK","M","FORT WASHINGTON","MD","MD","A - Marked Patrol","(39.0540741666667, -77.05121395)","Alabama"
"66738","01/29/2012","20:17:00","MCP","4th district, Wheaton","DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER  26-204,","GEORGIA AVE AT SHORFIELD DR",39.0540741666667,-77.05121395,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1998,"SATURN","4DR","GREEN, DK","Citation","16-303(h)","Transportation Article","No","BLACK","M","FORT WASHINGTON","MD","MD","A - Marked Patrol","(39.0540741666667, -77.05121395)","Alabama"
"67211","01/29/2012","20:17:00","MCP","4th district, Wheaton","DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER  26-206,","GEORGIA AVE AT SHORFIELD DR",39.0540741666667,-77.05121395,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1998,"SATURN","4DR","GREEN, DK","Citation","16-303(h)","Transportation Article","No","BLACK","M","FORT WASHINGTON","MD","MD","A - Marked Patrol","(39.0540741666667, -77.05121395)","Alabama"
"67691","01/29/2012","20:17:00","MCP","4th district, Wheaton","DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 27-103,","GEORGIA AVE AT SHORFIELD DR",39.0540741666667,-77.05121395,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1998,"SATURN","4DR","GREEN, DK","Citation","16-303(h)","Transportation Article","No","BLACK","M","FORT WASHINGTON","MD","MD","A - Marked Patrol","(39.0540741666667, -77.05121395)","Alabama"
"69442","02/17/2014","04:26:00","MCP","5th district, Germantown","EXCEEDING MAXIMUM SPEED: 63 MPH IN A POSTED 40 MPH ZONE","S/B RIDGE RD AT HAWKS RD",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2002,"VOLKS","GOLF","GRAY","Citation","21-801.1","Transportation Article","No","WHITE","M","FREDERICK","MD","MD","Q - Marked Laser","","Alabama"
"70998","04/19/2012","11:12:00","MCP","3rd district, Silver Spring","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","COLESVILLE RD.  / WAYNE AVE.",38.99477595,-77.0292039333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2012,"AUDI","Q5","GRAY","Citation","21-201(a1)","Transportation Article","No","BLACK","F","BIRMINGHAM","AL","AL","A - Marked Patrol","(38.99477595, -77.0292039333333)","Alabama"
"77399","11/17/2015","16:50:00","MCP","1st district, Rockville","DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE","270 N / CLARKSBURG RD",39.21279,-77.27642,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"MAZDA","3","GRAY","Citation","21-314(b)","Transportation Article","No","WHITE","M","COFFEEVILLE","AL","AL","A - Marked Patrol","(39.21279, -77.27642)","Alabama"
"77908","08/07/2013","09:52:00","MCP","5th district, Germantown","EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE","CLOPPER/118",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"HONDA","CIVIC","RED","Citation","21-801.1","Transportation Article","No","WHITE","M","PENSACOLA","FL","FL","A - Marked Patrol","","Alabama"
"79621","01/27/2012","03:51:00","MCP","1st district, Rockville","DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE","MONTROSE PARKWAY @ E. JEFFERSON STREET",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",0,"DODGE","TRUCK","BLUE","Citation","21-204(b)","Transportation Article","No","HISPANIC","M","ROCKVILLE","MD","VA","A - Marked Patrol","","Alabama"
"80170","01/27/2012","03:51:00","MCP","1st district, Rockville","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE","MONTROSE PARKWAY @ E. JEFFERSON STREET",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",0,"DODGE","TRUCK","BLUE","Citation","16-303(f)","Transportation Article","No","HISPANIC","M","ROCKVILLE","MD","VA","A - Marked Patrol","","Alabama"
"80709","01/27/2012","03:51:00","MCP","1st district, Rockville","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","MONTROSE PARKWAY @ E. JEFFERSON STREET",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",0,"DODGE","TRUCK","BLUE","Citation","13-401(b)","Transportation Article","No","HISPANIC","M","ROCKVILLE","MD","VA","A - Marked Patrol","","Alabama"
"88176","02/17/2012","18:05:00","MCP","2nd district, Bethesda","DISPLAYING EXPIRED REGISTRATION PLATES ISSUED BY ANY STATE","TUCKERMAN LANE/GLOXINIA DRIVE",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2012,"CHRYSLER","200","WHITE","Citation","13-411(f)","Transportation Article","No","WHITE","M","RALEIGH","NC","NC","A - Marked Patrol","","Alabama"
"88711","02/17/2012","18:05:00","MCP","2nd district, Bethesda","DRIVING W/O CURRENT TAGS","TUCKERMAN LANE/GLOXINIA DRIVE",NA,NA,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2012,"CHRYSLER","200","WHITE","Citation","13-411(d)","Transportation Article","No","WHITE","M","RALEIGH","NC","NC","A - Marked Patrol","","Alabama"
"89276","03/03/2012","21:45:00","MCP","3rd district, Silver Spring","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","CHERRY HILL AT FDA BLVD",39.0464498666667,-76.9531405666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1995,"MAZDA","626","WHITE","Citation","13-401(b)","Transportation Article","No","BLACK","F","BELTSVILLE","MD","MD","A - Marked Patrol","(39.0464498666667, -76.9531405666667)","Alabama"
"89808","03/03/2012","21:45:00","MCP","3rd district, Silver Spring","KNOWINGLY DRIVING UNINSURED VEHICLE","CHERRY HILL AT FDA BLVD",39.0464498666667,-76.9531405666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1995,"MAZDA","626","WHITE","Citation","17-107","Transportation Article","No","BLACK","F","BELTSVILLE","MD","MD","A - Marked Patrol","(39.0464498666667, -76.9531405666667)","Alabama"
"89905","06/01/2012","14:17:00","MCP","3rd district, Silver Spring","EXCEEDING MAXIMUM SPEED: 73 MPH IN A POSTED 55 MPH ZONE","SB 29/ BRIGGS CHANEY RD",39.0717548833333,-76.9570501166667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2012,"NISSAN","ALTIMA","BLACK","Citation","21-801.1","Transportation Article","No","BLACK","M","JESSUP","MD","MD","Q - Marked Laser","(39.0717548833333, -76.9570501166667)","Alabama"
"92360","02/10/2013","18:40:00","MCP","4th district, Wheaton","EXCEEDING MAXIMUM SPEED: 59 MPH IN A POSTED 40 MPH ZONE","GEORGIA AVE AND OWENS ROAD",39.1650632833333,-77.0603791666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2012,"CHRYSLER","4DR","WHITE","Citation","21-801.1","Transportation Article","No","WHITE","F","BROOKEVILLE","MD","MD","Q - Marked Laser","(39.1650632833333, -77.0603791666667)","Alabama"
"92638","11/09/2013","07:15:00","MCP","3rd district, Silver Spring","EXCEEDING MAXIMUM SPEED: 55 MPH IN A POSTED 35 MPH ZONE","GEORGIA AVE @ EVANS",39.0244825333333,-77.0459731666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"PONTIAC","GRAND AM","SILVER","Citation","21-801.1","Transportation Article","No","BLACK","F","LAURL","MD","AL","A - Marked Patrol","(39.0244825333333, -77.0459731666667)","Alabama"
"93458","05/28/2012","03:08:00","MCP","4th district, Wheaton","FAILURE TO STOP AFTER ACCIDENT INVOLVING DAMAGE TO ATTENDED VEHICLE","UNIVERSITY AVE & GRANDVIEW AVE",39.0580115333333,-77.0487541833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"INFINITY","G35","BLUE","Citation","20-103(a)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0580115333333, -77.0487541833333)","Alabama"
"93984","05/28/2012","03:08:00","MCP","4th district, Wheaton","FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEH. DAMAGE","UNIVERSITY AVE & GRANDVIEW AVE",39.0580115333333,-77.0487541833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"INFINITY","G35","BLUE","Citation","20-103(b)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0580115333333, -77.0487541833333)","Alabama"
"94512","05/28/2012","03:08:00","MCP","4th district, Wheaton","FAIL OF DRIVER IN ATTEND VEH. ACCIDENT TO FURNISH REQ ID & LIC","UNIVERSITY AVE & GRANDVIEW AVE",39.0580115333333,-77.0487541833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"INFINITY","G35","BLUE","Citation","20-104(b)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0580115333333, -77.0487541833333)","Alabama"
"95039","05/28/2012","03:08:00","MCP","4th district, Wheaton","FAILURE OF VEH. DRIVER TO STOP AFTER UNATTENDED VEH. DAMAGE ACCIDENT","UNIVERSITY AVE & GRANDVIEW AVE",39.0580115333333,-77.0487541833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"INFINITY","G35","BLUE","Citation","20-105(a)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0580115333333, -77.0487541833333)","Alabama"
"95562","05/28/2012","03:08:00","MCP","4th district, Wheaton","DRIVING/ATTEMPTING DRIVE MOTOR VEH. ON HWY W/O REQ. LICENSE AND AUTHORIZATION","UNIVERSITY AVE & GRANDVIEW AVE",39.0580115333333,-77.0487541833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"INFINITY","G35","BLUE","Citation","16-101(a)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0580115333333, -77.0487541833333)","Alabama"
"96086","05/28/2012","03:08:00","MCP","4th district, Wheaton","DRIVING UNINSURED VEHICLE","UNIVERSITY AVE & GRANDVIEW AVE",39.0580115333333,-77.0487541833333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"INFINITY","G35","BLUE","Citation","17-107","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0580115333333, -77.0487541833333)","Alabama"
"97044","10/19/2015","23:56:00","MCP","Headquarters and Special Operations","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE","NEWELL STREET @ EASTERN AVE",38.986155,-77.0286366666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"TOYOTA","SCION","SILVER","Citation","16-303(c)","Transportation Article","No","BLACK","M","FREDERICK","MD","MD","A - Marked Patrol","(38.986155, -77.0286366666667)","Alabama"
"97565","10/19/2015","23:56:00","MCP","Headquarters and Special Operations","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103","NEWELL STREET @ EASTERN AVE",38.986155,-77.0286366666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"TOYOTA","SCION","SILVER","Citation","16-303(h)","Transportation Article","No","BLACK","M","FREDERICK","MD","MD","A - Marked Patrol","(38.986155, -77.0286366666667)","Alabama"
